ds_name,classifier_name,metric_name,true_value
postoperative_patient_data,RandomForestClassifier,recall,0.4275
postoperative_patient_data,SVC,accuracy,0.7778
postoperative_patient_data,SVC,balanced_accuracy,0.5000
postoperative_patient_data,SVC,f1,0.4375
postoperative_patient_data,SVC,precision,0.3889
postoperative_patient_data,SVC,recall,0.5000
vote,DecisionTreeClassifier,accuracy,0.9461
vote,DecisionTreeClassifier,balanced_accuracy,0.9508
vote,DecisionTreeClassifier,f1,0.9442
vote,DecisionTreeClassifier,precision,0.9428
vote,DecisionTreeClassifier,recall,0.9508
vote,LogisticRegression,accuracy,0.9580
vote,LogisticRegression,balanced_accuracy,0.9582
vote,LogisticRegression,f1,0.9559
vote,LogisticRegression,precision,0.9561
vote,LogisticRegression,recall,0.9582
vote,RandomForestClassifier,accuracy,0.9534
vote,RandomForestClassifier,balanced_accuracy,0.9534
vote,RandomForestClassifier,f1,0.9511
vote,RandomForestClassifier,precision,0.9520
vote,RandomForestClassifier,recall,0.9534
vote,SVC,accuracy,0.9618
vote,SVC,balanced_accuracy,0.9628
vote,SVC,f1,0.9600
vote,SVC,precision,0.9597
vote,SVC,recall,0.9628
vowel,DecisionTreeClassifier,accuracy,0.8207
vowel,DecisionTreeClassifier,balanced_accuracy,0.8207
vowel,DecisionTreeClassifier,f1,0.8190
vowel,DecisionTreeClassifier,precision,0.8333
vowel,DecisionTreeClassifier,recall,0.8207
vowel,LogisticRegression,accuracy,0.6715
vowel,LogisticRegression,balanced_accuracy,0.6715
vowel,LogisticRegression,f1,0.6674
vowel,LogisticRegression,precision,0.6842
vowel,LogisticRegression,recall,0.6715
vowel,RandomForestClassifier,accuracy,0.9763
vowel,RandomForestClassifier,balanced_accuracy,0.9763
vowel,RandomForestClassifier,f1,0.9762
vowel,RandomForestClassifier,precision,0.9788
vowel,RandomForestClassifier,recall,0.9763
vowel,SVC,accuracy,0.9901
vowel,SVC,balanced_accuracy,0.9901
vowel,SVC,f1,0.9900
vowel,SVC,precision,0.9910
vowel,SVC,recall,0.9901
