dataset_name,classifier_name,splitter_method,n_splits,metric_name,expected_estimate,estimate_std
allrep,LogisticRegression,StratifiedShuffleSplit,5,f1,0.47996,0.02363
allrep,LogisticRegression,StratifiedShuffleSplit,5,precision,0.40710,0.01554
allrep,LogisticRegression,StratifiedShuffleSplit,5,recall,0.78887,0.05748
allrep,LogisticRegression,StratifiedShuffleSplit,10,accuracy,0.90166,0.00461
allrep,LogisticRegression,StratifiedShuffleSplit,10,balanced_accuracy,0.79397,0.03630
allrep,LogisticRegression,StratifiedShuffleSplit,10,f1,0.48129,0.01733
allrep,LogisticRegression,StratifiedShuffleSplit,10,precision,0.40774,0.01162
allrep,LogisticRegression,StratifiedShuffleSplit,10,recall,0.79397,0.03630
allrep,RandomForestClassifier,CBDSCV,2,accuracy,0.95853,0.00389
allrep,RandomForestClassifier,CBDSCV,2,balanced_accuracy,0.77471,0.03305
allrep,RandomForestClassifier,CBDSCV,2,f1,0.64045,0.02470
allrep,RandomForestClassifier,CBDSCV,2,precision,0.58556,0.02351
allrep,RandomForestClassifier,CBDSCV,2,recall,0.77471,0.03305
allrep,RandomForestClassifier,CBDSCV,5,accuracy,0.95337,0.00406
allrep,RandomForestClassifier,CBDSCV,5,balanced_accuracy,0.83552,0.02074
allrep,RandomForestClassifier,CBDSCV,5,f1,0.63816,0.02197
allrep,RandomForestClassifier,CBDSCV,5,precision,0.57040,0.02680
allrep,RandomForestClassifier,CBDSCV,5,recall,0.83552,0.02074
allrep,RandomForestClassifier,CBDSCV,10,accuracy,0.95352,0.00322
allrep,RandomForestClassifier,CBDSCV,10,balanced_accuracy,0.84046,0.03155
allrep,RandomForestClassifier,CBDSCV,10,f1,0.62669,0.02267
allrep,RandomForestClassifier,CBDSCV,10,precision,0.56919,0.01851
allrep,RandomForestClassifier,CBDSCV,10,recall,0.82482,0.03773
allrep,RandomForestClassifier,CBDSCV_Mini,2,accuracy,0.95834,0.00378
allrep,RandomForestClassifier,CBDSCV_Mini,2,balanced_accuracy,0.78030,0.03436
allrep,RandomForestClassifier,CBDSCV_Mini,2,f1,0.64456,0.01969
allrep,RandomForestClassifier,CBDSCV_Mini,2,precision,0.58597,0.01837
allrep,RandomForestClassifier,CBDSCV_Mini,2,recall,0.78030,0.03436
allrep,RandomForestClassifier,CBDSCV_Mini,5,accuracy,0.95309,0.00422
allrep,RandomForestClassifier,CBDSCV_Mini,5,balanced_accuracy,0.82534,0.02067
allrep,RandomForestClassifier,CBDSCV_Mini,5,f1,0.63363,0.02345
allrep,RandomForestClassifier,CBDSCV_Mini,5,precision,0.56620,0.02595
allrep,RandomForestClassifier,CBDSCV_Mini,5,recall,0.82534,0.02067
allrep,RandomForestClassifier,CBDSCV_Mini,10,accuracy,0.95291,0.00300
allrep,RandomForestClassifier,CBDSCV_Mini,10,balanced_accuracy,0.83409,0.02467
allrep,RandomForestClassifier,CBDSCV_Mini,10,f1,0.62090,0.01690
allrep,RandomForestClassifier,CBDSCV_Mini,10,precision,0.56197,0.01743
allrep,RandomForestClassifier,CBDSCV_Mini,10,recall,0.81893,0.02723
allrep,RandomForestClassifier,DBSCV,2,accuracy,0.95642,0.00449
allrep,RandomForestClassifier,DBSCV,2,balanced_accuracy,0.76759,0.03661
allrep,RandomForestClassifier,DBSCV,2,f1,0.63155,0.03064
allrep,RandomForestClassifier,DBSCV,2,precision,0.57994,0.03131
allrep,RandomForestClassifier,DBSCV,2,recall,0.76759,0.03661
allrep,RandomForestClassifier,DBSCV,5,accuracy,0.95396,0.00324
allrep,RandomForestClassifier,DBSCV,5,balanced_accuracy,0.83549,0.01624
allrep,RandomForestClassifier,DBSCV,5,f1,0.63766,0.01716
allrep,RandomForestClassifier,DBSCV,5,precision,0.56794,0.01935
allrep,RandomForestClassifier,DBSCV,5,recall,0.83333,0.01702
allrep,RandomForestClassifier,DBSCV,10,accuracy,0.95319,0.00469
allrep,RandomForestClassifier,DBSCV,10,balanced_accuracy,0.84796,0.02858
allrep,RandomForestClassifier,DBSCV,10,f1,0.62748,0.03216
allrep,RandomForestClassifier,DBSCV,10,precision,0.56512,0.03292
allrep,RandomForestClassifier,DBSCV,10,recall,0.83461,0.03383
allrep,RandomForestClassifier,DOBSCV,2,accuracy,0.95663,0.00397
allrep,RandomForestClassifier,DOBSCV,2,balanced_accuracy,0.76191,0.03376
allrep,RandomForestClassifier,DOBSCV,2,f1,0.62513,0.03027
allrep,RandomForestClassifier,DOBSCV,2,precision,0.57517,0.02949
allrep,RandomForestClassifier,DOBSCV,2,recall,0.76191,0.03376
allrep,RandomForestClassifier,DOBSCV,5,accuracy,0.95296,0.00349
allrep,RandomForestClassifier,DOBSCV,5,balanced_accuracy,0.83537,0.02447
allrep,RandomForestClassifier,DOBSCV,5,f1,0.63594,0.01851
allrep,RandomForestClassifier,DOBSCV,5,precision,0.56480,0.02102
allrep,RandomForestClassifier,DOBSCV,5,recall,0.83537,0.02447
allrep,RandomForestClassifier,DOBSCV,10,accuracy,0.95264,0.00331
allrep,RandomForestClassifier,DOBSCV,10,balanced_accuracy,0.84591,0.02360
allrep,RandomForestClassifier,DOBSCV,10,f1,0.62687,0.02244
allrep,RandomForestClassifier,DOBSCV,10,precision,0.56631,0.02402
allrep,RandomForestClassifier,DOBSCV,10,recall,0.82776,0.02828
allrep,RandomForestClassifier,KFold,2,accuracy,0.95744,0.00408
allrep,RandomForestClassifier,KFold,2,balanced_accuracy,0.77821,0.02939
allrep,RandomForestClassifier,KFold,2,f1,0.63849,0.02502
allrep,RandomForestClassifier,KFold,2,precision,0.58183,0.02709
allrep,RandomForestClassifier,KFold,2,recall,0.77821,0.02939
allrep,RandomForestClassifier,KFold,5,accuracy,0.95318,0.00344
allrep,RandomForestClassifier,KFold,5,balanced_accuracy,0.82993,0.02493
allrep,RandomForestClassifier,KFold,5,f1,0.63793,0.01992
allrep,RandomForestClassifier,KFold,5,precision,0.56946,0.01884
allrep,RandomForestClassifier,KFold,5,recall,0.82993,0.02493
allrep,RandomForestClassifier,KFold,10,accuracy,0.95215,0.00300
allrep,RandomForestClassifier,KFold,10,balanced_accuracy,0.83072,0.02593
allrep,RandomForestClassifier,KFold,10,f1,0.61699,0.01714
allrep,RandomForestClassifier,KFold,10,precision,0.55440,0.01738
allrep,RandomForestClassifier,KFold,10,recall,0.81615,0.02175
allrep,RandomForestClassifier,ShuffleSplit,2,accuracy,0.95434,0.01073
allrep,RandomForestClassifier,ShuffleSplit,2,balanced_accuracy,0.83397,0.07240
allrep,RandomForestClassifier,ShuffleSplit,2,f1,0.63029,0.06543
allrep,RandomForestClassifier,ShuffleSplit,2,precision,0.56601,0.06564
allrep,RandomForestClassifier,ShuffleSplit,2,recall,0.82344,0.08183
allrep,RandomForestClassifier,ShuffleSplit,5,accuracy,0.95320,0.00665
