,dataset_name,classifier_name,splitter_method,repeat_id,n_splits,running_time
336,flare,LogisticRegression,KFold,12,2,0.0005
337,flare,LogisticRegression,KFold,12,5,0.0006
338,flare,LogisticRegression,KFold,12,10,0.0007
339,flare,LogisticRegression,KFold,13,2,0.0005
340,flare,LogisticRegression,KFold,13,5,0.0006
341,flare,LogisticRegression,KFold,13,10,0.0007
342,flare,LogisticRegression,KFold,14,2,0.0005
343,flare,LogisticRegression,KFold,14,5,0.0006
344,flare,LogisticRegression,KFold,14,10,0.0007
345,flare,LogisticRegression,KFold,15,2,0.0005
346,flare,LogisticRegression,KFold,15,5,0.0006
347,flare,LogisticRegression,KFold,15,10,0.0007
348,flare,LogisticRegression,KFold,16,2,0.0005
349,flare,LogisticRegression,KFold,16,5,0.0006
350,flare,LogisticRegression,KFold,16,10,0.0007
351,flare,LogisticRegression,KFold,17,2,0.0005
352,flare,LogisticRegression,KFold,17,5,0.0006
353,flare,LogisticRegression,KFold,17,10,0.0007
354,flare,LogisticRegression,KFold,18,2,0.0005
355,flare,LogisticRegression,KFold,18,5,0.0006
356,flare,LogisticRegression,KFold,18,10,0.0007
357,flare,LogisticRegression,KFold,19,2,0.0005
358,flare,LogisticRegression,KFold,19,5,0.0006
359,flare,LogisticRegression,KFold,19,10,0.0007
360,flare,LogisticRegression,StratifiedShuffleSplit,0,2,0.0014
361,flare,LogisticRegression,StratifiedShuffleSplit,0,5,0.0025
362,flare,LogisticRegression,StratifiedShuffleSplit,0,10,0.0043
363,flare,LogisticRegression,StratifiedShuffleSplit,1,2,0.0013
364,flare,LogisticRegression,StratifiedShuffleSplit,1,5,0.0025
365,flare,LogisticRegression,StratifiedShuffleSplit,1,10,0.0043
366,flare,LogisticRegression,StratifiedShuffleSplit,2,2,0.0014
367,flare,LogisticRegression,StratifiedShuffleSplit,2,5,0.0024
368,flare,LogisticRegression,StratifiedShuffleSplit,2,10,0.0043
369,flare,LogisticRegression,StratifiedShuffleSplit,3,2,0.0013
370,flare,LogisticRegression,StratifiedShuffleSplit,3,5,0.0024
371,flare,LogisticRegression,StratifiedShuffleSplit,3,10,0.0043
372,flare,LogisticRegression,StratifiedShuffleSplit,4,2,0.0014
373,flare,LogisticRegression,StratifiedShuffleSplit,4,5,0.0024
374,flare,LogisticRegression,StratifiedShuffleSplit,4,10,0.0043
375,flare,LogisticRegression,StratifiedShuffleSplit,5,2,0.0015
376,flare,LogisticRegression,StratifiedShuffleSplit,5,5,0.0027
377,flare,LogisticRegression,StratifiedShuffleSplit,5,10,0.0043
378,flare,LogisticRegression,StratifiedShuffleSplit,6,2,0.0014
379,flare,LogisticRegression,StratifiedShuffleSplit,6,5,0.0026
380,flare,LogisticRegression,StratifiedShuffleSplit,6,10,0.0044
381,flare,LogisticRegression,StratifiedShuffleSplit,7,2,0.0013
382,flare,LogisticRegression,StratifiedShuffleSplit,7,5,0.0025
383,flare,LogisticRegression,StratifiedShuffleSplit,7,10,0.0045
384,flare,LogisticRegression,StratifiedShuffleSplit,8,2,0.0014
385,flare,LogisticRegression,StratifiedShuffleSplit,8,5,0.0025
386,flare,LogisticRegression,StratifiedShuffleSplit,8,10,0.0045
387,flare,LogisticRegression,StratifiedShuffleSplit,9,2,0.0014
388,flare,LogisticRegression,StratifiedShuffleSplit,9,5,0.0026
389,flare,LogisticRegression,StratifiedShuffleSplit,9,10,0.0045
390,flare,LogisticRegression,StratifiedShuffleSplit,10,2,0.0015
391,flare,LogisticRegression,StratifiedShuffleSplit,10,5,0.0029
392,flare,LogisticRegression,StratifiedShuffleSplit,10,10,0.0045
393,flare,LogisticRegression,StratifiedShuffleSplit,11,2,0.0014
394,flare,LogisticRegression,StratifiedShuffleSplit,11,5,0.0026
395,flare,LogisticRegression,StratifiedShuffleSplit,11,10,0.0045
396,flare,LogisticRegression,StratifiedShuffleSplit,12,2,0.0014
397,flare,LogisticRegression,StratifiedShuffleSplit,12,5,0.0025
398,flare,LogisticRegression,StratifiedShuffleSplit,12,10,0.0045
399,flare,LogisticRegression,StratifiedShuffleSplit,13,2,0.0014
400,flare,LogisticRegression,StratifiedShuffleSplit,13,5,0.0025
401,flare,LogisticRegression,StratifiedShuffleSplit,13,10,0.0045
402,flare,LogisticRegression,StratifiedShuffleSplit,14,2,0.0014
403,flare,LogisticRegression,StratifiedShuffleSplit,14,5,0.0026
404,flare,LogisticRegression,StratifiedShuffleSplit,14,10,0.0045
405,flare,LogisticRegression,StratifiedShuffleSplit,15,2,0.0014
406,flare,LogisticRegression,StratifiedShuffleSplit,15,5,0.0025
407,flare,LogisticRegression,StratifiedShuffleSplit,15,10,0.0044
